Næringer,Kjonn,Alder,ContentsCode,År,Totalt
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2008,5135
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2009,5122
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2010,5139
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2011,5098
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2012,4924
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2013,4875
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2014,4834
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2015,4746
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2016,4779
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2017,4782
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2018,4743
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2019,4827
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2020,5291
