knr,Kjonn,Alder,ContentsCode,aar,knavn,Alle Næringer,"Jordbruk, Skogbrug og Fiske",Bergverksdrift og Utvinning,Industri,"Elektrisitet, Vann og Renovasjon",Bygge- og Anleggsvirksomhet,"Varehandel, Reperasjon av Motorvogner",Transport og Lagring,Overnattings- og Servicevirksomhet,Informasjon og Kommunikasjon,Finansiering og Forsikring,"Teknisk Tjenesteyting, Eiendomsdrift",Forretningsmessig Tjenesteyting,"Off.Adm, Forsvar, Sosialforsikring",Undervisning,Helse- og Sosialtjenester,Personlig Tjenesteyting,Uoppgitt
4618,Begge Kjønn,15-74,Sysselsatte,2020,Ullensvang,5503,247,172,954,155,617,520,206,182,48,15,256,126,207,405,1233,128,32
1228,Begge Kjønn,15-74,Sysselsatte,2008,Odda,3577,45,51,839,105,292,388,134,110,51,26,132,84,109,242,839,115,15
1228,Begge Kjønn,15-74,Sysselsatte,2009,Odda,3528,44,55,801,104,283,372,125,87,48,20,150,89,119,246,874,98,13
1228,Begge Kjønn,15-74,Sysselsatte,2010,Odda,3479,50,70,771,106,293,378,115,93,51,23,153,60,117,238,852,92,17
1228,Begge Kjønn,15-74,Sysselsatte,2011,Odda,3449,46,73,774,107,305,375,116,96,46,15,158,76,116,229,821,87,9
1228,Begge Kjønn,15-74,Sysselsatte,2012,Odda,3501,46,76,810,106,293,344,114,85,39,15,160,89,115,215,886,92,16
1228,Begge Kjønn,15-74,Sysselsatte,2013,Odda,3458,43,79,785,105,295,347,116,102,40,18,157,78,112,225,856,88,12
1228,Begge Kjønn,15-74,Sysselsatte,2014,Odda,3450,50,91,758,105,312,348,116,96,39,18,155,84,109,222,849,86,12
1228,Begge Kjønn,15-74,Sysselsatte,2015,Odda,3351,41,84,723,105,320,329,115,91,31,15,147,71,109,245,816,86,23
1228,Begge Kjønn,15-74,Sysselsatte,2016,Odda,3341,37,84,655,109,328,337,122,98,27,9,154,58,116,248,853,83,23
1228,Begge Kjønn,15-74,Sysselsatte,2017,Odda,3371,45,71,678,101,353,323,115,104,28,9,156,90,104,243,858,79,14
1228,Begge Kjønn,15-74,Sysselsatte,2018,Odda,3358,47,77,708,101,334,329,112,114,35,6,164,91,124,225,794,79,18
1228,Begge Kjønn,15-74,Sysselsatte,2019,Odda,3350,36,90,743,109,326,315,118,111,22,12,157,77,119,227,807,71,10
4618,Begge Kjønn,15-74,Sysselsatte,2008,Ullensvang,1837,210,44,206,41,249,177,89,94,14,27,99,35,75,125,287,55,10
4618,Begge Kjønn,15-74,Sysselsatte,2009,Ullensvang,1813,208,43,204,36,247,156,78,86,15,27,98,38,79,129,300,56,13
4618,Begge Kjønn,15-74,Sysselsatte,2010,Ullensvang,1827,184,51,184,36,262,170,76,77,17,26,105,41,80,136,316,47,19
4618,Begge Kjønn,15-74,Sysselsatte,2011,Ullensvang,1799,166,55,185,33,259,167,72,101,13,24,95,43,81,131,310,51,13
4618,Begge Kjønn,15-74,Sysselsatte,2012,Ullensvang,1745,139,58,178,40,244,166,65,91,13,24,104,45,78,126,312,51,11
4618,Begge Kjønn,15-74,Sysselsatte,2013,Ullensvang,1734,132,60,178,39,229,153,71,95,14,18,113,42,77,132,318,51,12
4618,Begge Kjønn,15-74,Sysselsatte,2014,Ullensvang,1766,129,60,181,40,236,153,73,97,11,13,118,47,75,122,350,52,9
4618,Begge Kjønn,15-74,Sysselsatte,2015,Ullensvang,1707,134,57,174,48,220,138,63,88,15,12,107,47,67,120,358,42,17
4618,Begge Kjønn,15-74,Sysselsatte,2016,Ullensvang,1665,124,48,159,46,222,149,65,93,15,10,108,36,72,132,324,45,17
4618,Begge Kjønn,15-74,Sysselsatte,2017,Ullensvang,1687,129,44,163,44,225,149,64,91,16,6,108,40,70,140,334,50,14
4618,Begge Kjønn,15-74,Sysselsatte,2018,Ullensvang,1683,117,48,171,44,234,136,59,86,12,9,103,46,77,137,329,53,22
4618,Begge Kjønn,15-74,Sysselsatte,2019,Ullensvang,1691,134,54,151,37,244,142,54,80,12,9,96,45,78,140,345,56,14
