knr,Kjonn,Alder,ContentsCode,aar,knavn,Alle Næringer,"Jordbruk, Skogbrug og Fiske",Bergverksdrift og Utvinning,Industri,"Elektrisitet, Vann og Renovasjon",Bygge- og Anleggsvirksomhet,"Varehandel, Reperasjon av Motorvogner",Transport og Lagring,Overnattings- og Servicevirksomhet,Informasjon og Kommunikasjon,Finansiering og Forsikring,"Teknisk Tjenesteyting, Eiendomsdrift",Forretningsmessig Tjenesteyting,"Off.Adm, Forsvar, Sosialforsikring",Undervisning,Helse- og Sosialtjenester,Personlig Tjenesteyting,Uoppgitt
1106,Begge Kjønn,15-74,SysselsatteArb,2008,Haugesund,21322,74,452,2572,267,1263,3945,1261,863,405,286,995,1029,927,1422,4812,675,74
1106,Begge Kjønn,15-74,SysselsatteArb,2009,Haugesund,21160,67,455,2570,286,1296,3810,1249,774,400,281,1028,867,968,1535,4865,627,82
1106,Begge Kjønn,15-74,SysselsatteArb,2010,Haugesund,21233,72,318,2486,313,1226,3793,1141,838,429,260,1207,823,1022,1632,4952,628,93
1106,Begge Kjønn,15-74,SysselsatteArb,2011,Haugesund,21734,66,335,2600,325,1273,3814,1174,833,439,244,1239,886,1020,1637,5133,636,80
1106,Begge Kjønn,15-74,SysselsatteArb,2012,Haugesund,21986,69,379,2766,335,1211,3712,1211,871,450,234,1284,924,1068,1721,5040,630,81
1106,Begge Kjønn,15-74,SysselsatteArb,2013,Haugesund,22143,71,404,2805,343,1340,3670,1046,939,458,219,1372,890,1094,1709,5057,650,76
1106,Begge Kjønn,15-74,SysselsatteArb,2014,Haugesund,22190,70,416,2682,348,1294,3642,1069,965,477,219,1391,915,1152,1733,5096,646,75
1106,Begge Kjønn,15-74,SysselsatteArb,2015,Haugesund,21328,80,417,2371,347,1240,3295,1067,827,463,220,1384,678,1080,1680,5395,658,126
1106,Begge Kjønn,15-74,SysselsatteArb,2016,Haugesund,21056,67,369,2196,375,1179,3233,1001,908,474,202,1332,613,1121,1764,5416,683,123
1106,Begge Kjønn,15-74,SysselsatteArb,2017,Haugesund,21372,70,402,2110,379,1197,3235,996,924,483,193,1369,752,1114,1771,5513,740,124
1106,Begge Kjønn,15-74,SysselsatteArb,2018,Haugesund,21346,65,655,2128,372,1252,3176,999,880,530,178,1202,647,1122,1743,5567,716,114
1106,Begge Kjønn,15-74,SysselsatteArb,2019,Haugesund,21429,89,685,2171,416,1081,3006,993,898,577,172,1173,765,1276,1716,5608,703,100
1106,Begge Kjønn,15-74,SysselsatteArb,2020,Haugesund,20852,83,694,2220,425,1002,2879,820,751,604,166,1098,717,1157,1720,5713,713,90
1135,Begge Kjønn,15-74,SysselsatteArb,2008,Sauda,2136,36,0,468,113,176,183,82,50,18,20,31,89,83,209,522,46,10
1135,Begge Kjønn,15-74,SysselsatteArb,2009,Sauda,2176,43,0,429,121,180,189,82,52,18,11,30,75,94,224,544,75,9
1135,Begge Kjønn,15-74,SysselsatteArb,2010,Sauda,2180,36,0,414,120,177,205,85,59,14,15,35,77,95,232,546,52,18
1135,Begge Kjønn,15-74,SysselsatteArb,2011,Sauda,2131,36,0,395,124,179,189,93,56,14,17,30,76,105,231,518,56,12
1135,Begge Kjønn,15-74,SysselsatteArb,2012,Sauda,2100,39,0,394,138,190,202,90,41,14,13,28,84,95,222,474,65,11
1135,Begge Kjønn,15-74,SysselsatteArb,2013,Sauda,2048,36,0,401,125,195,182,70,46,18,12,32,75,93,214,469,69,11
1135,Begge Kjønn,15-74,SysselsatteArb,2014,Sauda,2073,33,0,408,127,195,173,66,42,21,3,37,97,89,225,510,37,10
1135,Begge Kjønn,15-74,SysselsatteArb,2015,Sauda,1977,25,0,383,123,197,170,64,48,24,3,31,63,89,216,470,43,28
1135,Begge Kjønn,15-74,SysselsatteArb,2016,Sauda,1951,26,0,345,131,207,168,67,44,11,6,31,61,96,221,470,46,21
1135,Begge Kjønn,15-74,SysselsatteArb,2017,Sauda,1956,21,0,345,127,219,164,77,55,12,3,24,65,94,201,480,46,23
1135,Begge Kjønn,15-74,SysselsatteArb,2018,Sauda,1937,28,0,342,129,210,171,69,57,12,3,28,68,88,209,452,55,16
1135,Begge Kjønn,15-74,SysselsatteArb,2019,Sauda,1945,30,0,360,126,198,158,70,59,15,3,29,67,86,208,466,55,15
1135,Begge Kjønn,15-74,SysselsatteArb,2020,Sauda,1970,26,0,367,140,206,158,75,33,13,NA,33,64,97,215,473,53,NA
1145,Begge Kjønn,15-74,SysselsatteArb,2008,Bokn,297,51,0,41,0,11,12,35,9,0,0,3,9,14,32,74,3,3
1145,Begge Kjønn,15-74,SysselsatteArb,2009,Bokn,296,59,0,40,0,8,13,27,6,0,0,3,6,15,39,77,3,0
1145,Begge Kjønn,15-74,SysselsatteArb,2010,Bokn,291,54,0,31,0,7,13,28,0,0,0,6,6,14,42,84,3,3
1145,Begge Kjønn,15-74,SysselsatteArb,2011,Bokn,293,67,0,31,0,8,15,21,0,0,0,3,3,21,45,73,3,3
1145,Begge Kjønn,15-74,SysselsatteArb,2012,Bokn,317,52,0,51,0,8,19,20,3,0,0,3,3,16,33,97,6,6
1145,Begge Kjønn,15-74,SysselsatteArb,2013,Bokn,327,57,0,54,0,11,13,24,3,0,0,0,6,18,33,99,6,3
1145,Begge Kjønn,15-74,SysselsatteArb,2014,Bokn,327,49,0,54,0,11,16,27,0,3,0,0,3,17,35,100,6,6
1145,Begge Kjønn,15-74,SysselsatteArb,2015,Bokn,301,56,0,36,0,16,15,26,3,3,0,0,9,15,28,85,6,3
1145,Begge Kjønn,15-74,SysselsatteArb,2016,Bokn,306,61,0,43,0,13,15,30,3,0,0,3,6,13,34,76,3,6
1145,Begge Kjønn,15-74,SysselsatteArb,2017,Bokn,311,74,0,37,0,13,12,32,3,0,0,3,6,16,29,80,3,3
1145,Begge Kjønn,15-74,SysselsatteArb,2018,Bokn,291,65,0,43,0,12,9,27,3,3,0,0,6,12,26,76,6,3
1145,Begge Kjønn,15-74,SysselsatteArb,2019,Bokn,327,67,0,52,0,9,10,33,0,3,0,0,3,21,26,91,9,3
1145,Begge Kjønn,15-74,SysselsatteArb,2020,Bokn,323,67,0,63,0,9,12,31,0,NA,0,NA,NA,18,23,82,3,3
1146,Begge Kjønn,15-74,SysselsatteArb,2008,Tysvær,4048,298,825,268,51,346,362,191,156,11,13,63,31,143,353,833,85,19
1146,Begge Kjønn,15-74,SysselsatteArb,2009,Tysvær,4160,282,872,270,54,385,363,181,163,12,6,62,34,153,386,831,84,22
1146,Begge Kjønn,15-74,SysselsatteArb,2010,Tysvær,4232,270,866,252,60,394,390,135,181,104,9,76,32,145,387,810,93,28
1146,Begge Kjønn,15-74,SysselsatteArb,2011,Tysvær,4475,239,850,252,67,663,390,137,124,105,12,69,70,163,392,827,91,24
1146,Begge Kjønn,15-74,SysselsatteArb,2012,Tysvær,4423,219,909,257,61,480,434,127,136,117,13,72,85,165,406,818,97,27
1146,Begge Kjønn,15-74,SysselsatteArb,2013,Tysvær,4281,209,859,241,60,466,415,130,126,100,10,86,138,160,353,806,100,22
1146,Begge Kjønn,15-74,SysselsatteArb,2014,Tysvær,4329,190,852,220,61,450,443,137,134,88,7,96,167,164,353,842,102,23
1146,Begge Kjønn,15-74,SysselsatteArb,2015,Tysvær,4304,196,820,320,31,469,438,135,89,50,9,84,169,134,342,858,96,64
1146,Begge Kjønn,15-74,SysselsatteArb,2016,Tysvær,4314,194,790,390,31,467,445,109,92,40,10,151,152,142,338,802,105,56
1146,Begge Kjønn,15-74,SysselsatteArb,2017,Tysvær,4576,186,797,476,28,485,454,216,92,62,10,136,169,134,342,834,108,47
1146,Begge Kjønn,15-74,SysselsatteArb,2018,Tysvær,4620,182,759,628,25,500,451,105,81,60,10,169,180,139,348,834,108,41
1146,Begge Kjønn,15-74,SysselsatteArb,2019,Tysvær,4710,192,757,617,23,549,445,92,88,101,10,177,180,129,340,843,129,38
1146,Begge Kjønn,15-74,SysselsatteArb,2020,Tysvær,4773,204,NA,631,NA,510,431,178,80,115,7,153,202,143,345,844,111,33
1149,Begge Kjønn,15-74,SysselsatteArb,2008,Karmøy,15194,472,55,3357,120,1472,2026,1402,267,136,117,420,514,394,1203,2771,371,97
