knr,Kjonn,Alder,ContentsCode,aar,knavn,Alle Næringer,"Jordbruk, Skogbrug og Fiske",Bergverksdrift og Utvinning,Industri,"Elektrisitet, Vann og Renovasjon",Bygge- og Anleggsvirksomhet,"Varehandel, Reperasjon av Motorvogner",Transport og Lagring,Overnattings- og Servicevirksomhet,Informasjon og Kommunikasjon,Finansiering og Forsikring,"Teknisk Tjenesteyting, Eiendomsdrift",Forretningsmessig Tjenesteyting,"Off.Adm, Forsvar, Sosialforsikring",Undervisning,Helse- og Sosialtjenester,Personlig Tjenesteyting,Uoppgitt
1106,Begge Kjønn,15-74,Sysselsatte,2008,Haugesund,17611,130,859,2289,183,1134,2592,1054,723,376,245,757,1019,685,1324,3648,516,77
1106,Begge Kjønn,15-74,Sysselsatte,2009,Haugesund,17294,114,881,2086,174,1138,2559,1035,681,351,233,803,831,713,1427,3679,507,82
1106,Begge Kjønn,15-74,Sysselsatte,2010,Haugesund,17460,122,952,1885,182,1146,2539,1005,759,393,215,894,854,770,1466,3679,506,93
1106,Begge Kjønn,15-74,Sysselsatte,2011,Haugesund,17901,124,1003,1936,186,1230,2558,969,763,400,198,923,921,764,1465,3832,548,81
1106,Begge Kjønn,15-74,Sysselsatte,2012,Haugesund,18178,125,1117,1999,186,1249,2529,973,824,386,187,966,944,828,1519,3715,545,86
1106,Begge Kjønn,15-74,Sysselsatte,2013,Haugesund,18337,115,1121,2018,195,1321,2482,969,875,400,173,1002,865,875,1507,3783,560,76
1106,Begge Kjønn,15-74,Sysselsatte,2014,Haugesund,18609,120,1112,1983,211,1304,2516,1031,864,403,162,1054,930,886,1538,3851,567,77
1106,Begge Kjønn,15-74,Sysselsatte,2015,Haugesund,17855,122,1028,1809,190,1241,2388,1029,746,371,156,974,762,832,1526,3969,582,130
1106,Begge Kjønn,15-74,Sysselsatte,2016,Haugesund,17806,110,943,1744,183,1226,2378,999,772,362,148,958,807,848,1603,3998,614,113
1106,Begge Kjønn,15-74,Sysselsatte,2017,Haugesund,18117,123,944,1765,183,1242,2357,990,815,364,147,993,891,834,1639,4067,642,121
1106,Begge Kjønn,15-74,Sysselsatte,2018,Haugesund,18295,107,1094,1776,184,1236,2354,1021,805,415,141,930,874,861,1636,4107,642,112
1106,Begge Kjønn,15-74,Sysselsatte,2019,Haugesund,18448,110,1141,1884,181,1225,2216,1006,804,443,132,952,913,935,1612,4187,608,99
1106,Begge Kjønn,15-74,Sysselsatte,2020,Haugesund,18137,120,1130,1905,197,1146,2147,968,693,484,128,917,883,864,1600,4259,605,91
1135,Begge Kjønn,15-74,Sysselsatte,2008,Sauda,2430,62,98,519,101,193,209,93,59,23,17,43,114,91,199,539,60,10
1135,Begge Kjønn,15-74,Sysselsatte,2009,Sauda,2430,59,101,460,109,194,210,98,69,20,15,41,94,101,206,557,87,9
1135,Begge Kjønn,15-74,Sysselsatte,2010,Sauda,2416,54,112,440,102,200,230,93,71,20,18,49,83,103,206,552,65,18
1135,Begge Kjønn,15-74,Sysselsatte,2011,Sauda,2419,57,119,423,105,204,217,96,75,24,15,52,84,112,211,543,70,12
1135,Begge Kjønn,15-74,Sysselsatte,2012,Sauda,2384,49,136,422,119,219,220,98,58,25,10,58,85,102,197,508,67,11
1135,Begge Kjønn,15-74,Sysselsatte,2013,Sauda,2364,47,139,431,108,224,201,98,66,23,9,54,78,109,193,501,72,11
1135,Begge Kjønn,15-74,Sysselsatte,2014,Sauda,2391,49,132,434,111,225,202,94,56,20,9,64,97,98,195,541,54,10
1135,Begge Kjønn,15-74,Sysselsatte,2015,Sauda,2267,45,121,405,103,215,186,87,60,23,6,53,75,96,201,506,60,25
1135,Begge Kjønn,15-74,Sysselsatte,2016,Sauda,2229,45,107,370,109,227,179,94,59,14,6,51,71,99,217,500,63,18
1135,Begge Kjønn,15-74,Sysselsatte,2017,Sauda,2239,32,118,357,117,238,175,100,67,12,6,45,79,102,205,504,60,22
1135,Begge Kjønn,15-74,Sysselsatte,2018,Sauda,2226,39,122,358,120,221,192,84,67,10,6,41,85,96,214,490,65,16
1135,Begge Kjønn,15-74,Sysselsatte,2019,Sauda,2234,37,140,370,111,222,178,86,67,21,6,40,81,91,195,506,65,18
1135,Begge Kjønn,15-74,Sysselsatte,2020,Sauda,2212,40,138,365,114,218,170,94,40,19,3,41,79,94,205,513,61,18
1145,Begge Kjønn,15-74,Sysselsatte,2008,Bokn,412,57,30,48,3,28,41,55,12,6,3,6,9,18,25,68,3,0
1145,Begge Kjønn,15-74,Sysselsatte,2009,Bokn,407,61,31,39,0,28,40,51,16,3,3,9,6,20,28,69,3,0
1145,Begge Kjønn,15-74,Sysselsatte,2010,Bokn,420,63,36,36,3,26,33,52,17,6,0,11,12,17,33,66,6,3
1145,Begge Kjønn,15-74,Sysselsatte,2011,Bokn,428,72,39,39,3,24,37,47,12,6,3,12,10,19,35,64,3,3
1145,Begge Kjønn,15-74,Sysselsatte,2012,Bokn,425,63,42,39,3,24,39,50,9,6,3,6,12,19,23,75,9,3
1145,Begge Kjønn,15-74,Sysselsatte,2013,Bokn,439,55,46,44,0,35,34,56,3,6,0,6,16,17,32,77,9,3
1145,Begge Kjønn,15-74,Sysselsatte,2014,Bokn,434,55,45,46,0,36,39,56,3,6,0,6,10,18,28,77,6,3
1145,Begge Kjønn,15-74,Sysselsatte,2015,Bokn,424,61,42,42,0,42,32,56,6,3,3,3,10,12,27,76,6,3
1145,Begge Kjønn,15-74,Sysselsatte,2016,Bokn,427,68,41,40,3,35,34,58,3,3,3,3,12,18,24,73,3,6
1145,Begge Kjønn,15-74,Sysselsatte,2017,Bokn,424,79,36,39,0,40,29,56,6,3,0,3,12,17,23,75,3,3
1145,Begge Kjønn,15-74,Sysselsatte,2018,Bokn,425,73,39,45,0,35,37,53,3,3,3,3,9,16,23,74,6,3
1145,Begge Kjønn,15-74,Sysselsatte,2019,Bokn,443,75,40,47,0,31,37,47,3,6,0,3,6,21,24,88,9,6
1145,Begge Kjønn,15-74,Sysselsatte,2020,Bokn,439,67,36,56,0,34,40,47,6,6,3,6,6,14,22,89,7,0
1146,Begge Kjønn,15-74,Sysselsatte,2008,Tysvær,5193,349,401,582,60,497,764,295,204,60,40,121,183,161,398,946,113,19
1146,Begge Kjønn,15-74,Sysselsatte,2009,Tysvær,5145,348,402,562,67,488,714,274,194,64,37,141,148,179,422,973,108,24
1146,Begge Kjønn,15-74,Sysselsatte,2010,Tysvær,5219,337,440,513,72,522,747,254,193,75,34,158,139,169,422,1001,116,27
1146,Begge Kjønn,15-74,Sysselsatte,2011,Tysvær,5574,314,460,550,79,719,760,269,196,80,31,157,184,193,437,1010,111,24
1146,Begge Kjønn,15-74,Sysselsatte,2012,Tysvær,5470,292,495,553,73,550,732,270,194,92,28,181,200,192,443,1023,128,24
1146,Begge Kjønn,15-74,Sysselsatte,2013,Tysvær,5482,274,505,558,72,541,738,278,189,96,27,197,228,194,406,1032,124,23
1146,Begge Kjønn,15-74,Sysselsatte,2014,Tysvær,5591,261,521,569,73,552,760,293,187,79,32,210,220,195,411,1082,119,27
1146,Begge Kjønn,15-74,Sysselsatte,2015,Tysvær,5412,280,498,530,68,564,713,297,145,77,24,202,207,174,383,1081,116,53
1146,Begge Kjønn,15-74,Sysselsatte,2016,Tysvær,5409,286,468,533,67,550,707,290,161,81,21,198,206,191,416,1060,123,51
1146,Begge Kjønn,15-74,Sysselsatte,2017,Tysvær,5437,269,457,522,68,571,690,295,153,83,26,200,240,195,402,1086,133,47
1146,Begge Kjønn,15-74,Sysselsatte,2018,Tysvær,5444,255,501,533,65,594,682,283,131,77,26,172,224,203,413,1112,129,44
1146,Begge Kjønn,15-74,Sysselsatte,2019,Tysvær,5550,256,528,539,74,587,680,293,135,90,23,191,228,210,411,1119,149,37
1146,Begge Kjønn,15-74,Sysselsatte,2020,Tysvær,5503,273,530,547,66,570,653,287,119,98,28,172,239,244,414,1107,127,29
