Næringer,Kjonn,Alder,ContentsCode,År,Totalt
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2008,47419
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2009,46908
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2010,47071
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2011,48162
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2012,48600
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2013,48908
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2014,49413
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2015,47947
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2016,47829
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2017,48858
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2018,48874
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2019,49207
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2020,48875
