;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
00-99 Alle næringer;Begge kjønn;15-74 år;2525000;2496999;2516999;2562001;2589000;2619000;2650000;2597063;2613653;2647297;2683447;2710435;2681548
01-03 Jordbruk, skogbruk og fiske;Begge kjønn;15-74 år;76766;75258;71845;67756;65435;63844;63507;63371;63993;64196;63258;63101;63723
05-09 Bergverksdrift og utvinning;Begge kjønn;15-74 år;43308;44524;52688;56149;61960;65331;66663;60013;52995;53231;54352;58755;58758
10-33 Industri;Begge kjønn;15-74 år;255935;239574;227221;229318;229219;230921;231821;215650;208203;207180;208825;210775;206844
35-39 Elektrisitet, vann og renovasjon;Begge kjønn;15-74 år;25875;26621;27889;28764;28892;29703;29897;29580;30412;30490;31308;32121;32754
41-43 Bygge- og anleggsvirksomhet;Begge kjønn;15-74 år;191173;186390;188443;196656;201867;208281;212541;207611;212915;219998;225943;230156;230246
45-47 Varehandel, reparasjon av motorvogner;Begge kjønn;15-74 år;375595;364884;364431;365326;363855;363149;364639;348633;349335;350292;350841;347638;343562
49-53 Transport og lagring;Begge kjønn;15-74 år;145922;141314;141456;141065;142436;142477;142517;138139;136958;135384;136387;135785;128645
55-56 Overnattings- og serveringsvirksomhet;Begge kjønn;15-74 år;81080;78084;79354;82758;83310;85524;89495;85665;89176;92861;94572;96920;80702
58-63 Informasjon og kommunikasjon;Begge kjønn;15-74 år;86924;85362;86525;88243;89898;90763;92287;88378;88342;90212;93809;98871;100975
64-66 Finansiering og forsikring;Begge kjønn;15-74 år;50654;49872;49577;49558;48784;48315;47554;46834;45783;45201;45567;46467;47537
68-75 Teknisk tjenesteyting, eiendomsdrift;Begge kjønn;15-74 år;148078;147256;148662;153890;159073;164140;165816;161996;162148;166283;171324;174697;173249
77-82 Forretningsmessig tjenesteyting;Begge kjønn;15-74 år;129943;119515;120953;128016;133513;132367;133963;120885;125912;131365;135152;133961;126061
84 Off.adm., forsvar, sosialforsikring;Begge kjønn;15-74 år;141301;149012;150914;153882;158032;161028;163564;162510;165000;167118;167874;168297;171734
85 Undervisning;Begge kjønn;15-74 år;194598;196477;200607;203178;203112;205712;208672;209095;213276;217287;220351;223924;225677
86-88 Helse- og sosialtjenester;Begge kjønn;15-74 år;477671;490131;499678;510229;510771;517264;525391;532273;541324;546862;553143;558016;563029
90-99 Personlig tjenesteyting;Begge kjønn;15-74 år;88266;91169;92329;94118;94994;96775;98624;99768;102727;105766;108906;110698;108316
00 Uoppgitt;Begge kjønn;15-74 år;11911;11556;14427;13095;13849;13406;13049;26662;25154;23571;21835;20253;19736
