;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
00-99 Alle næringer;Begge kjønn;15-74 år;2525000;2497001;2517001;2562000;2588999;2619000;2650000;2597065;2613653;2647298;2683448;2710435;2681547
01-03 Jordbruk, skogbruk og fiske;Begge kjønn;15-74 år;76821;75205;71822;67727;65446;63820;63508;63362;64006;64243;63273;63102;63723
05-09 Bergverksdrift og utvinning;Begge kjønn;15-74 år;43265;44521;52726;56181;61974;65295;66674;60036;53003;53191;54360;58757;58755
10-33 Industri;Begge kjønn;15-74 år;255945;239608;227141;229316;229225;230923;231796;215641;208207;207192;208829;210776;206842
35-39 Elektrisitet, vann og renovasjon;Begge kjønn;15-74 år;25858;26626;27884;28759;28884;29710;29917;29563;30365;30474;31294;32121;32756
41-43 Bygge- og anleggsvirksomhet;Begge kjønn;15-74 år;191147;186377;188530;196672;201869;208336;212565;207626;212962;220042;225954;230154;230249
45-47 Varehandel, reparasjon av motorvogner;Begge kjønn;15-74 år;375602;364893;364385;365297;363864;363143;364628;348665;349338;350283;350831;347635;343559
49-53 Transport og lagring;Begge kjønn;15-74 år;145973;141337;141458;141028;142411;142428;142525;138099;136962;135422;136390;135787;128648
55-56 Overnattings- og serveringsvirksomhet;Begge kjønn;15-74 år;81056;78064;79373;82780;83339;85560;89501;85652;89159;92837;94535;96923;80702
58-63 Informasjon og kommunikasjon;Begge kjønn;15-74 år;86913;85327;86514;88249;89862;90748;92268;88398;88381;90231;93830;98871;100975
64-66 Finansiering og forsikring;Begge kjønn;15-74 år;50648;49863;49592;49563;48778;48310;47581;46828;45751;45173;45582;46466;47542
68-75 Teknisk tjenesteyting, eiendomsdrift;Begge kjønn;15-74 år;148059;147268;148668;153879;159045;164148;165762;162007;162173;166248;171296;174695;173248
77-82 Forretningsmessig tjenesteyting;Begge kjønn;15-74 år;130018;119517;120929;128063;133543;132363;133958;120878;125893;131366;135173;133962;126059
84 Off.adm., forsvar, sosialforsikring;Begge kjønn;15-74 år;141252;148997;150926;153866;158019;161024;163622;162497;164962;167163;167902;168294;171733
85 Undervisning;Begge kjønn;15-74 år;194595;196482;200649;203164;203140;205739;208609;209124;213260;217278;220324;223923;225674
86-88 Helse- og sosialtjenester;Begge kjønn;15-74 år;477707;490091;499678;510242;510780;517266;525388;532317;541367;546855;553158;558015;563028
90-99 Personlig tjenesteyting;Begge kjønn;15-74 år;88280;91216;92327;94135;95013;96777;98656;99732;102724;105805;108869;110700;108313
00 Uoppgitt;Begge kjønn;15-74 år;11861;11609;14399;13079;13807;13410;13042;26640;25140;23495;21848;20254;19741
