Næringer,Kjonn,Alder,ContentsCode,År,Totalt
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2008,25705
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2009,25579
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2010,25164
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2011,25567
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2012,25340
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2013,25745
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2014,26116
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2015,25437
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2016,24932
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2017,25165
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2018,25417
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2019,25530
Alle Næringer,Begge Kjønn,15-74,SysselsatteArb,2020,25379
