knr,Kjonn,Alder,ContentsCode,aar,knavn,Alle Næringer,"Jordbruk, Skogbrug og Fiske",Bergverksdrift og Utvinning,Industri,"Elektrisitet, Vann og Renovasjon",Bygge- og Anleggsvirksomhet,"Varehandel, Reperasjon av Motorvogner",Transport og Lagring,Overnattings- og Servicevirksomhet,Informasjon og Kommunikasjon,Finansiering og Forsikring,"Teknisk Tjenesteyting, Eiendomsdrift",Forretningsmessig Tjenesteyting,"Off.Adm, Forsvar, Sosialforsikring",Undervisning,Helse- og Sosialtjenester,Personlig Tjenesteyting,Uoppgitt
4611,Begge Kjønn,15-74,SysselsatteArb,2020,Etne,1613,172,13,177,21,242,186,48,51,22,NA,39,68,52,111,346,34,NA
4612,Begge Kjønn,15-74,SysselsatteArb,2020,Sveio,1494,180,0,48,3,231,142,94,9,5,0,26,34,48,171,423,62,18
4613,Begge Kjønn,15-74,SysselsatteArb,2020,Bømlo,4890,340,0,1101,49,532,420,339,75,30,16,106,186,145,460,950,123,18
4614,Begge Kjønn,15-74,SysselsatteArb,2020,Stord,9301,38,0,2330,172,639,1009,345,350,104,39,501,217,355,786,2168,217,31
4615,Begge Kjønn,15-74,SysselsatteArb,2020,Fitjar,1085,122,NA,141,15,149,85,39,15,NA,0,45,19,40,115,267,15,15
4616,Begge Kjønn,15-74,SysselsatteArb,2020,Tysnes,1188,231,0,49,17,119,167,68,12,NA,NA,31,31,60,79,264,30,6
4617,Begge Kjønn,15-74,SysselsatteArb,2020,Kvinnherad,5808,416,NA,1012,106,556,541,221,113,63,16,161,156,201,477,1577,134,NA
4611,Begge Kjønn,15-74,SysselsatteArb,2008,Etne,1648,221,11,139,44,204,219,49,61,19,23,39,152,49,110,264,27,17
4611,Begge Kjønn,15-74,SysselsatteArb,2009,Etne,1673,206,10,142,46,211,217,47,54,23,25,37,149,49,110,303,28,16
4611,Begge Kjønn,15-74,SysselsatteArb,2010,Etne,1621,215,11,135,46,214,225,42,67,20,26,36,87,42,121,283,32,19
4611,Begge Kjønn,15-74,SysselsatteArb,2011,Etne,1775,234,10,139,45,224,226,39,65,26,30,38,169,45,117,318,31,19
4611,Begge Kjønn,15-74,SysselsatteArb,2012,Etne,1665,179,11,148,42,233,229,42,44,29,26,42,122,51,122,303,29,13
4611,Begge Kjønn,15-74,SysselsatteArb,2013,Etne,1651,157,14,152,44,231,191,33,65,26,22,52,100,57,124,334,35,14
4611,Begge Kjønn,15-74,SysselsatteArb,2014,Etne,1702,156,16,160,45,245,191,42,76,24,24,45,108,57,130,335,31,17
4611,Begge Kjønn,15-74,SysselsatteArb,2015,Etne,1686,152,13,169,47,252,178,54,59,24,20,40,102,62,119,338,40,17
4611,Begge Kjønn,15-74,SysselsatteArb,2016,Etne,1671,154,12,173,43,248,192,50,62,26,17,45,87,64,122,318,37,21
4611,Begge Kjønn,15-74,SysselsatteArb,2017,Etne,1656,168,13,189,27,275,191,44,61,27,20,42,65,55,106,319,34,20
4611,Begge Kjønn,15-74,SysselsatteArb,2018,Etne,1618,171,14,173,25,275,175,46,58,25,18,45,64,49,108,322,32,18
4611,Begge Kjønn,15-74,SysselsatteArb,2019,Etne,1656,176,13,192,23,250,199,48,46,21,21,48,78,57,104,333,30,17
4612,Begge Kjønn,15-74,SysselsatteArb,2008,Sveio,1362,188,0,48,3,228,107,69,6,24,3,12,15,67,172,355,50,15
4612,Begge Kjønn,15-74,SysselsatteArb,2009,Sveio,1387,193,3,50,6,205,100,81,18,16,3,26,16,68,164,383,46,9
4612,Begge Kjønn,15-74,SysselsatteArb,2010,Sveio,1357,170,0,52,3,214,97,81,12,23,3,15,20,66,155,383,45,18
4612,Begge Kjønn,15-74,SysselsatteArb,2011,Sveio,1358,178,0,54,3,195,109,68,16,20,4,15,25,61,161,377,53,19
4612,Begge Kjønn,15-74,SysselsatteArb,2012,Sveio,1386,200,3,41,3,164,134,61,15,17,0,9,32,67,158,411,54,17
4612,Begge Kjønn,15-74,SysselsatteArb,2013,Sveio,1448,194,3,41,3,223,137,63,13,12,3,9,24,63,159,434,52,15
4612,Begge Kjønn,15-74,SysselsatteArb,2014,Sveio,1439,159,0,42,3,227,140,86,11,9,3,12,27,53,170,431,49,17
4612,Begge Kjønn,15-74,SysselsatteArb,2015,Sveio,1519,224,0,39,6,237,140,84,9,6,0,12,30,55,173,422,57,25
4612,Begge Kjønn,15-74,SysselsatteArb,2016,Sveio,1516,199,0,30,6,229,158,81,20,6,0,14,19,62,173,437,54,28
4612,Begge Kjønn,15-74,SysselsatteArb,2017,Sveio,1495,209,0,45,6,220,145,83,17,3,0,12,17,62,185,414,55,22
4612,Begge Kjønn,15-74,SysselsatteArb,2018,Sveio,1516,192,0,44,6,235,141,90,9,6,0,23,33,48,190,421,58,20
4612,Begge Kjønn,15-74,SysselsatteArb,2019,Sveio,1523,198,0,48,3,231,142,94,15,9,0,22,35,52,178,414,55,27
4613,Begge Kjønn,15-74,SysselsatteArb,2008,Bømlo,4845,324,8,1303,43,397,463,554,74,14,25,94,89,104,402,789,129,33
4613,Begge Kjønn,15-74,SysselsatteArb,2009,Bømlo,4831,324,7,1274,44,413,447,536,54,14,29,97,76,111,397,863,120,25
4613,Begge Kjønn,15-74,SysselsatteArb,2010,Bømlo,4819,315,8,1201,45,393,446,500,49,24,35,106,100,110,438,912,111,26
4613,Begge Kjønn,15-74,SysselsatteArb,2011,Bømlo,4865,298,0,1138,45,430,461,384,63,18,25,111,225,124,452,957,107,27
4613,Begge Kjønn,15-74,SysselsatteArb,2012,Bømlo,4885,292,0,1165,46,426,468,412,52,26,18,111,207,127,462,946,103,24
4613,Begge Kjønn,15-74,SysselsatteArb,2013,Bømlo,4872,294,0,1141,47,460,449,409,52,16,22,120,209,127,454,947,104,21
4613,Begge Kjønn,15-74,SysselsatteArb,2014,Bømlo,4890,309,0,1121,56,439,473,376,56,20,20,124,178,136,461,978,127,16
4613,Begge Kjønn,15-74,SysselsatteArb,2015,Bømlo,4695,302,0,1103,53,425,430,341,58,23,17,99,143,120,475,943,118,45
4613,Begge Kjønn,15-74,SysselsatteArb,2016,Bømlo,4662,318,0,1032,55,436,440,345,68,19,12,103,140,124,474,936,131,29
4613,Begge Kjønn,15-74,SysselsatteArb,2017,Bømlo,4790,342,0,1045,55,454,436,363,66,17,13,98,148,145,471,967,133,37
4613,Begge Kjønn,15-74,SysselsatteArb,2018,Bømlo,4885,337,0,1061,55,551,450,351,58,33,16,95,149,133,466,974,128,28
4613,Begge Kjønn,15-74,SysselsatteArb,2019,Bømlo,4887,321,0,1121,55,526,398,354,74,30,16,115,154,144,461,960,133,25
