knr,Kjonn,Alder,ContentsCode,aar,knavn,Alle Næringer,"Jordbruk, Skogbrug og Fiske",Bergverksdrift og Utvinning,Industri,"Elektrisitet, Vann og Renovasjon",Bygge- og Anleggsvirksomhet,"Varehandel, Reperasjon av Motorvogner",Transport og Lagring,Overnattings- og Servicevirksomhet,Informasjon og Kommunikasjon,Finansiering og Forsikring,"Teknisk Tjenesteyting, Eiendomsdrift",Forretningsmessig Tjenesteyting,"Off.Adm, Forsvar, Sosialforsikring",Undervisning,Helse- og Sosialtjenester,Personlig Tjenesteyting,Uoppgitt
4611,Begge Kjønn,15-74,Sysselsatte,2020,Etne,2061,174,86,251,45,300,201,85,50,48,19,77,70,65,141,400,34,15
4612,Begge Kjønn,15-74,Sysselsatte,2020,Sveio,2784,157,162,258,48,312,320,185,64,41,6,92,98,78,229,634,84,16
4613,Begge Kjønn,15-74,Sysselsatte,2020,Bømlo,5848,379,309,1193,58,476,499,390,105,40,24,166,266,197,474,1091,156,25
4614,Begge Kjønn,15-74,Sysselsatte,2020,Stord,9315,136,225,1897,189,700,950,333,323,167,39,484,370,354,823,2071,220,34
4615,Begge Kjønn,15-74,Sysselsatte,2020,Fitjar,1564,108,57,272,36,173,146,67,37,15,6,90,49,47,95,327,24,15
4616,Begge Kjønn,15-74,Sysselsatte,2020,Tysnes,1371,156,81,111,27,134,128,101,12,12,14,44,52,65,96,299,33,6
4617,Begge Kjønn,15-74,Sysselsatte,2020,Kvinnherad,6426,385,229,1068,102,604,590,281,124,68,28,203,193,231,492,1631,147,50
4611,Begge Kjønn,15-74,Sysselsatte,2008,Etne,2150,223,70,285,52,267,246,95,61,31,26,65,111,65,156,346,34,17
4611,Begge Kjønn,15-74,Sysselsatte,2009,Etne,2115,198,68,292,53,271,237,83,56,33,28,61,103,60,153,370,33,16
4611,Begge Kjønn,15-74,Sysselsatte,2010,Etne,2060,203,71,263,61,275,240,75,55,32,26,63,89,57,152,349,30,19
4611,Begge Kjønn,15-74,Sysselsatte,2011,Etne,2154,214,72,271,59,282,239,77,62,40,29,67,95,61,153,377,40,16
4611,Begge Kjønn,15-74,Sysselsatte,2012,Etne,2172,183,90,286,61,273,253,75,54,39,21,69,115,67,167,372,34,13
4611,Begge Kjønn,15-74,Sysselsatte,2013,Etne,2156,161,95,289,58,283,223,72,60,38,20,81,100,78,163,380,41,14
4611,Begge Kjønn,15-74,Sysselsatte,2014,Etne,2197,165,99,284,55,295,228,74,66,35,25,82,94,76,174,390,41,14
4611,Begge Kjønn,15-74,Sysselsatte,2015,Etne,2088,159,86,263,51,292,210,82,54,35,18,77,83,75,158,383,45,17
4611,Begge Kjønn,15-74,Sysselsatte,2016,Etne,2070,165,80,273,48,289,216,75,61,34,20,68,70,74,159,375,40,23
4611,Begge Kjønn,15-74,Sysselsatte,2017,Etne,2046,166,78,257,45,310,228,75,55,35,20,75,57,68,141,376,40,20
4611,Begge Kjønn,15-74,Sysselsatte,2018,Etne,2051,170,83,264,44,323,214,71,53,39,18,77,62,63,140,379,33,18
4611,Begge Kjønn,15-74,Sysselsatte,2019,Etne,2086,180,87,268,47,306,223,77,43,44,18,84,60,70,135,391,36,17
4612,Begge Kjønn,15-74,Sysselsatte,2008,Sveio,2595,172,106,312,31,267,314,190,66,43,22,78,80,77,197,547,78,15
4612,Begge Kjønn,15-74,Sysselsatte,2009,Sveio,2586,191,106,295,28,277,285,203,75,46,14,86,72,81,195,548,78,6
4612,Begge Kjønn,15-74,Sysselsatte,2010,Sveio,2603,164,117,286,32,278,313,191,50,50,13,113,63,99,195,541,77,21
4612,Begge Kjønn,15-74,Sysselsatte,2011,Sveio,2663,157,125,297,32,296,314,185,56,45,11,100,100,89,198,560,79,19
4612,Begge Kjønn,15-74,Sysselsatte,2012,Sveio,2760,177,143,316,33,268,328,182,53,54,13,93,106,98,208,592,79,17
4612,Begge Kjønn,15-74,Sysselsatte,2013,Sveio,2794,169,146,324,41,294,331,187,58,53,10,98,85,100,211,590,76,21
4612,Begge Kjønn,15-74,Sysselsatte,2014,Sveio,2768,137,153,323,42,300,328,207,54,47,13,100,88,91,218,572,79,16
4612,Begge Kjønn,15-74,Sysselsatte,2015,Sveio,2737,184,150,300,38,287,316,199,45,40,9,105,79,83,215,578,81,28
4612,Begge Kjønn,15-74,Sysselsatte,2016,Sveio,2761,176,135,279,38,285,326,201,59,28,9,112,85,87,217,611,82,31
4612,Begge Kjønn,15-74,Sysselsatte,2017,Sveio,2806,170,141,282,43,299,332,196,65,34,9,107,89,95,227,611,87,19
4612,Begge Kjønn,15-74,Sysselsatte,2018,Sveio,2785,159,164,262,43,325,325,182,62,33,6,101,100,74,232,606,87,24
4612,Begge Kjønn,15-74,Sysselsatte,2019,Sveio,2800,168,160,270,40,319,328,180,67,41,3,91,100,79,220,623,83,28
4613,Begge Kjønn,15-74,Sysselsatte,2008,Bømlo,5700,320,237,1439,53,377,562,590,107,39,30,159,142,131,397,922,162,33
4613,Begge Kjønn,15-74,Sysselsatte,2009,Bømlo,5737,316,253,1414,55,384,530,583,93,40,33,161,136,143,396,1026,148,26
4613,Begge Kjønn,15-74,Sysselsatte,2010,Bømlo,5760,320,267,1337,55,388,527,567,75,46,37,168,157,142,436,1074,137,27
4613,Begge Kjønn,15-74,Sysselsatte,2011,Bømlo,5796,309,270,1308,60,415,551,459,78,39,32,165,244,156,440,1108,129,33
4613,Begge Kjønn,15-74,Sysselsatte,2012,Bømlo,5886,321,298,1347,56,412,543,456,74,42,33,176,259,162,442,1109,126,30
4613,Begge Kjønn,15-74,Sysselsatte,2013,Bømlo,5907,312,334,1338,58,433,529,457,81,37,35,178,257,163,438,1107,128,22
4613,Begge Kjønn,15-74,Sysselsatte,2014,Bømlo,5934,316,331,1329,67,436,526,437,92,42,33,168,248,169,451,1131,142,16
4613,Begge Kjønn,15-74,Sysselsatte,2015,Bømlo,5731,332,293,1256,66,435,491,412,82,42,29,161,222,164,472,1086,143,45
4613,Begge Kjønn,15-74,Sysselsatte,2016,Bømlo,5570,346,263,1152,65,442,495,406,84,40,22,155,202,168,475,1074,154,27
4613,Begge Kjønn,15-74,Sysselsatte,2017,Bømlo,5719,364,265,1155,64,479,498,410,85,38,25,137,245,189,475,1089,165,36
4613,Begge Kjønn,15-74,Sysselsatte,2018,Bømlo,5839,371,282,1185,59,514,534,407,95,51,27,136,253,190,459,1094,154,28
4613,Begge Kjønn,15-74,Sysselsatte,2019,Bømlo,5929,365,306,1244,68,491,499,415,121,46,24,151,228,197,464,1116,163,31
4614,Begge Kjønn,15-74,Sysselsatte,2008,Stord,9284,95,132,2247,128,569,1158,388,353,148,71,419,423,428,802,1685,213,25
4614,Begge Kjønn,15-74,Sysselsatte,2009,Stord,9156,91,143,2143,141,587,1123,363,335,163,64,482,362,349,815,1779,188,28
4614,Begge Kjønn,15-74,Sysselsatte,2010,Stord,8995,77,262,1938,150,539,1110,354,313,170,62,455,305,370,796,1860,201,33
4614,Begge Kjønn,15-74,Sysselsatte,2011,Stord,9214,90,213,1995,158,596,1084,356,306,171,58,488,367,361,811,1932,202,26
4614,Begge Kjønn,15-74,Sysselsatte,2012,Stord,9294,82,214,2092,168,611,1045,369,293,176,56,520,354,398,788,1909,194,25
4614,Begge Kjønn,15-74,Sysselsatte,2013,Stord,9594,77,229,2247,155,594,1086,367,345,173,59,543,375,384,817,1909,204,30
4614,Begge Kjønn,15-74,Sysselsatte,2014,Stord,9686,85,235,2304,150,611,1102,361,385,155,52,541,392,381,813,1885,197,37
4614,Begge Kjønn,15-74,Sysselsatte,2015,Stord,9312,79,212,2131,148,640,1027,348,319,126,60,466,338,380,802,1944,208,84
4614,Begge Kjønn,15-74,Sysselsatte,2016,Stord,9136,96,196,1857,156,649,1037,339,307,119,49,491,308,380,850,2036,194,72
4614,Begge Kjønn,15-74,Sysselsatte,2017,Stord,9306,119,196,1866,152,688,1000,345,355,142,48,503,348,387,834,2055,211,57
4614,Begge Kjønn,15-74,Sysselsatte,2018,Stord,9367,121,202,1889,147,703,996,353,334,125,44,523,379,395,818,2085,207,46
4614,Begge Kjønn,15-74,Sysselsatte,2019,Stord,9461,124,223,1902,162,722,997,355,363,179,38,480,419,344,809,2066,224,54
4615,Begge Kjønn,15-74,Sysselsatte,2008,Fitjar,1533,56,24,287,32,183,176,89,57,9,6,95,44,61,118,260,26,10
4615,Begge Kjønn,15-74,Sysselsatte,2009,Fitjar,1518,70,31,287,29,171,168,82,44,12,6,96,40,56,118,280,21,7
4615,Begge Kjønn,15-74,Sysselsatte,2010,Fitjar,1529,74,37,264,28,170,176,86,41,14,6,90,47,46,131,278,29,12
4615,Begge Kjønn,15-74,Sysselsatte,2011,Fitjar,1544,76,37,263,28,174,169,86,45,11,9,94,45,56,123,282,32,14
4615,Begge Kjønn,15-74,Sysselsatte,2012,Fitjar,1562,74,43,266,31,178,166,91,39,14,9,102,46,48,113,296,37,9
